OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,BuildingAge,log_surface,Size_S,Size_M,Size_L,Size_XL,Size_XXL,surface_per_floor,Nhood_CENTRAL,Nhood_DELRIDGE,Nhood_DOWNTOWN,Nhood_EAST,Nhood_GREATER DUWAMISH,Nhood_LAKE UNION,Nhood_MAGNOLIA / QUEEN ANNE,Nhood_NORTH,Nhood_NORTHEAST,Nhood_NORTHWEST,Nhood_Other,Nhood_SOUTHEAST,Nhood_SOUTHWEST
95,NonResidential,Hotel,Sorrento Hotel,900 Madison St.,Seattle,EAST,47.60898,-122.32693,1908,7,0,76631,Hotel,76631.0,7258758.5,7250730.5,False,Compliant,117,11.246770023062728,False,False,True,False,False,10947.285714285714,False,False,False,True,False,False,False,False,False,False,False,False,False
96,NonResidential,Mixed Use Property,Central Seattle,921 Terry Ave.,Seattle,EAST,47.60845,-122.32637,1983,6,9341,90439,Medical Office,40174.0,15473117.0,15684371.0,False,Compliant,42,11.412441926391907,False,False,True,False,False,15073.166666666666,False,False,False,True,False,False,False,False,False,False,False,False,False
98,NonResidential,Retail Store,Firestone Store#012432,400 Westlake Ave N,Seattle,LAKE UNION,47.62237,-122.33805,1929,2,0,58320,Retail Store,72072.0,1049748.625,1243027.75,False,Compliant,96,10.973717513311941,False,False,True,False,False,29160.0,False,False,False,False,False,True,False,False,False,False,False,False,False
100,NonResidential,Large Office,City Place III - SEDO,551 Boren Ave. North,Seattle,LAKE UNION,47.62424,-122.33646,2010,5,0,316306,Office,261826.0,13795954.0,13909270.0,False,Compliant,15,12.664468539937253,False,False,False,False,True,63261.2,False,False,False,False,False,True,False,False,False,False,False,False,False
102,NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,Seattle,LAKE UNION,47.62642,-122.33325,1990,7,44766,238097,Hotel,235788.0,19459304.0,20194606.0,False,Compliant,35,12.380437632607672,False,False,False,False,True,34013.857142857145,False,False,False,False,False,True,False,False,False,False,False,False,False
103,Nonresidential COS,Other,Key Arena,334 1st Ave. N,Seattle,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1,0,389000,Other,368000.0,23658978.0,23736924.0,False,Compliant,63,12.871337193291367,False,False,False,False,True,389000.0,False,False,False,False,False,False,True,False,False,False,False,False,False
104,Nonresidential COS,Other,Bagley Wright Theatre,151 Mercer St.,Seattle,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1,0,91213,Other,65000.0,8141155.5,8181881.0,False,Compliant,63,11.420963673053087,False,False,True,False,False,91213.0,False,False,False,False,False,False,True,False,False,False,False,False,False
106,Nonresidential COS,Other,Armory,305 Harrison St.,Seattle,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,5,0,396085,Other,278500.0,20955026.0,21257836.0,False,Compliant,87,12.889386638375425,False,False,False,False,True,79217.0,False,False,False,False,False,False,True,False,False,False,False,False,False
107,NonResidential,Large Office,City Place IV - SEDO,333 Boren Ave. N.,Seattle,LAKE UNION,47.62112,-122.33629,2010,12,0,571329,Office,598801.0,39605888.0,40153432.0,False,Compliant,15,13.255722255149015,False,False,False,False,True,47610.75,False,False,False,False,False,True,False,False,False,False,False,False,False
110,Nonresidential COS,Other,Exhibition Hall,225 Mercer St.,Seattle,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,2,0,52000,Other,52000.0,2726369.0,2682242.75,False,Compliant,63,10.859018228147887,False,False,True,False,False,26000.0,False,False,False,False,False,False,True,False,False,False,False,False,False
