OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
26157,NonResidential,Senior Care Community,Caroline Kline Galland Home,7500 Seward Park Ave S,Seattle,SOUTHEAST,47.53515,-122.26556,1967,1.0,1,0,141297,Senior Care Community,141297.0,19423344.0,False,Compliant,717.93
26183,NonResidential,Small- and Mid-Sized Office,Supply Laundry Building,1265 Republican St.,Seattle,LAKE UNION,47.62298,-122.33082,1912,1.0,2,0,27788,Office,32610.0,2119806.25,False,Compliant,35.99
26218,NonResidential,Hotel,Comfort Inn and Suites,13700 Aurora Ave. N.,Seattle,NORTHWEST,47.729,-122.34473,1990,1.0,4,8584,33120,Hotel,41704.0,1943899.25,False,Compliant,58.52
26235,NonResidential,Warehouse,101 S. Dakota,101 S. Dakota,Seattle,GREATER DUWAMISH,47.56683,-122.33358,1941,1.0,2,0,22324,Non-Refrigerated Warehouse,21000.0,588856.125,False,Compliant,22.33
26236,NonResidential,Other,4130 1st Ave,4130 1st Ave South,Seattle,GREATER DUWAMISH,47.5661,-122.33358,1946,1.0,2,0,31360,Other - Entertainment/Public Assembly,32000.0,1725108.25,False,Compliant,39.65
26237,NonResidential,Mixed Use Property,Daniel Smith Inc,4150 1st Avenue South,Seattle,GREATER DUWAMISH,47.56555,-122.33362,1947,1.0,1,0,30496,Retail Store,14344.0,1992158.25,False,Compliant,46.01
26254,NonResidential,Small- and Mid-Sized Office,1605 Boylston,610 E Pine Street,Seattle,EAST,47.61545,-122.3238,1922,1.0,3,0,27600,Office,13175.0,1072151.375,False,Compliant,12.57
26289,NonResidential,Senior Care Community,Columbia Lutheran Home,4700 Phinney Avenue North,Seattle,Northwest,47.66312,-122.35311,1961,1.0,2,0,55974,Senior Care Community,56000.0,6135173.0,False,Compliant,203.21
26324,NonResidential,Senior Care Community,Saint Anne Nursing and Rehab Center,3540 NE 110th St,Seattle,NORTH,47.70883,-122.28887,1954,1.0,1,0,22583,Senior Care Community,22583.0,1981360.0,False,Compliant,70.92
26331,NonResidential,Small- and Mid-Sized Office,Solid Ground,1501 N. 45th ST.,Seattle,LAKE UNION,47.66117,-122.3391,1997,0.0,3,7358,24328,Office,25927.0,2305643.5,False,Compliant,16.07
26348,NonResidential,Small- and Mid-Sized Office,Lake Union Place,1914 N 34th Street,Seattle,LAKE UNION,47.6483,-122.33438,1981,1.0,3,6034,20660,Office,24914.0,720170.6875,False,Compliant,5.02
26359,NonResidential,Warehouse,Hansen Bros.,10750 Aurora Ave N,Seattle,NORTHWEST,47.70833,-122.34429,1972,1.0,1,0,29400,Non-Refrigerated Warehouse,25000.0,227509.5,False,Compliant,1.59
26379,NonResidential,Hotel,Georgetown Inn,6100 Corson Ave South,Seattle,GREATER DUWAMISH,47.54774,-122.32091,1992,1.0,3,0,22452,Hotel,22452.0,1244150.0,False,Compliant,41.88
26392,NonResidential,Other,192741-University,4500 University Way Ne,Seattle,NORTHEAST,47.66148,-122.31279,1912,1.0,2,0,25767,Bank Branch,17434.0,1581352.75,False,Compliant,11.02
26393,NonResidential,Retail Store,4518 University,4518 University Way NE,Seattle,NORTHEAST,47.66188,-122.31279,1953,1.0,4,0,33910,Retail Store,14585.0,1822834.25,False,Compliant,38.21
26396,NonResidential,Worship Facility,University Christian Church,4731 15TH AVE. NE,Seattle,NORTHEAST,47.6645,-122.31224,1927,1.0,2,0,78401,Worship Facility,62400.0,2462408.25,False,Compliant,87.41
26460,NonResidential,Warehouse,Mariner Square LLC,1900 N Northlake Way,Seattle,LAKE UNION,47.64748,-122.33435,1979,1.0,2,0,78716,Non-Refrigerated Warehouse,41275.0,4103800.75,False,Compliant,48.13
26465,NonResidential,K-12 School,St. Benedict School,4811 Wallingford Ave. N.,Seattle,LAKE UNION,47.66389,-122.33692,1910,1.0,2,0,33300,K-12 School,30740.0,1594733.625,False,Compliant,69.2
26473,NonResidential,Supermarket / Grocery Store,70500869 -- Wallingford,1801 North 45th Street,Seattle,LAKE UNION,47.66185,-122.33594,1957,1.0,1,0,28808,Supermarket/Grocery Store,31174.0,9232576.0,False,Compliant,226.73
26528,NonResidential,Small- and Mid-Sized Office,4701 University Way Bldg,4701 University Way NE,Seattle,NORTHEAST,47.66345,-122.3134,1957,1.0,1,7004,20962,Office,20962.0,1100499.75,False,Compliant,7.67
26529,NonResidential,Supermarket / Grocery Store,Safeway 3091 - Brooklyn Ave,4732 Brooklyn Ave NE,Seattle,NORTHEAST,47.66429,-122.31389,1950,1.0,1,0,26226,Supermarket/Grocery Store,25828.0,7588060.5,False,Compliant,156.18
26535,NonResidential,Mixed Use Property,2967-University District,1300 N.E. 45Th Street,Seattle,NORTHEAST,47.6616,-122.31393,1976,1.0,2,15755,19193,Bank Branch,19183.0,1159807.125,False,Compliant,8.09
26587,NonResidential,Small- and Mid-Sized Office,1600 Fairview,1600 Fairview Ave E,Seattle,LAKE UNION,47.6342,-122.32661,1998,1.0,3,9999,27640,Office,20434.0,6197824.5,False,Compliant,43.21
